id,value,created_timestamp,updated_timestamp,id_circle_kpi,id_circle,name,id_kpi,name_kpi,sample_value,description,id_period,year,month,quarter,id_range,min_value,max_value,display_value,description_range,id_frequency,type,description_frequency,id_users,username,email,id_role,name_role,description_role
1,35.0,2023-01-01 00:00:00,2023-01-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,1,2023,1.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
2,50.0,2023-02-01 00:00:00,2023-02-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,2,2023,2.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
3,50.0,2023-03-01 00:00:00,2023-03-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,3,2023,3.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
4,55.0,2023-04-01 00:00:00,2023-04-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,4,2023,4.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
5,70.0,2023-05-01 00:00:00,2023-05-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,5,2023,5.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
6,80.0,2023-06-01 00:00:00,2023-06-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,6,2023,6.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
7,85.0,2023-07-01 00:00:00,2023-07-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,7,2023,7.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
8,90.0,2023-08-01 00:00:00,2023-08-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,8,2023,8.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
9,,2023-09-01 00:00:00,2023-09-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,9,2023,9.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
10,,2023-10-01 00:00:00,2023-10-01 00:00:00,1,1,HR,1,share of teams constituted as circles,50.0,The percentage of teams that are a part of circles.,10,2023,10.0,,1,0,100.0,0 <= % <= 100,Percentage range from 0 to 100,1,month,Data is recorded monthly,1,default@test.com,default@test.com,1,default,Default user role with basic permissions
